experiment,display_name,class_id,class_name,n,precision_mean,precision_std,recall_mean,recall_std,mAP50_mean,mAP50_std,mAP50-95_mean,mAP50-95_std
yolov8,YOLOv8-L,3,Lightning Rod Suspension,3,0.9659717854868445,0.014176160285798165,0.9150326797385621,0.005660296756761017,0.9370453177094671,0.01395631112408608,0.7376592499222647,0.011376232473715745
yolov8,YOLOv8-L,4,Polymer Insulator,3,0.9298429100575234,0.00767329739996374,0.9306538940821623,0.005501949327506581,0.9324841918513295,0.003934674672618012,0.8325024509849128,0.005080219253428803
yolov8,YOLOv8-L,5,Polymer Insulator Shackle,3,0.8859076459990309,0.0138222893432558,0.8758575680040555,0.01760799267787492,0.9116515753719039,0.005295018104900578,0.6480643264532215,0.0050245762218948265
yolov8,YOLOv8-L,6,Vari-Grip,3,0.9486590327065074,0.0019929388460469236,0.9536135505847171,0.006579313660160113,0.9704568112089539,0.002283914990981642,0.7515042960374362,0.00510200468210764
yolov8,YOLOv8-L,7,Yoke,3,0.9192792555551228,0.014157701071658983,0.8904366116337935,0.007243541053516261,0.946291975473504,0.0055729127283459445,0.7305001282908219,0.003861250241284484
yolov8,YOLOv8-L,8,Bird Nest,3,0.9870301873021118,0.001561636572621936,0.9878886078156935,0.002425627573900378,0.9945459653283992,6.361391299487099e-05,0.9707955187096508,0.0011542696650169233
yolov8,YOLOv8-L,9,Plastic Bag,3,0.8867809114490722,0.006087951347435369,0.8426953176115787,0.016695145447271114,0.9131791012691248,0.00605908574030489,0.8216934275305687,0.005971858059529481
yolov8,YOLOv8-L,10,Fluttering Object,3,0.9310437650896827,0.004229844756519095,0.9288833282112883,0.0016220534890375483,0.9686663820194135,0.0008523078694591563,0.9142212079959152,0.004991366996600518
yolov8,YOLOv8-L,11,Balloon,3,0.8760385666498587,0.004300902051218565,0.8487429408635921,0.0007259875127996418,0.9098121429599206,0.00027039070280940797,0.7406873981744478,0.0027149695100909875
yolov8,YOLOv8-L,12,Broken Power Lines,3,0.6702569893897049,0.014054316142612234,0.5050753894294924,0.015345196388875682,0.5619990658234311,0.015157838980674902,0.24428933189088967,0.007207330979468731
yolov8,YOLOv8-L,13,Broken Insulator,3,0.9921338912478941,0.00342694783415897,0.996415770609319,0.003104033705320566,0.995,0.0,0.8844397980534631,0.00814912997444157
